Debug results for cursor_motion:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)
53903359.000 0.962500000000        182          26.67
54231039.000 0.968750000000        184          32.00
54231039.000 0.971875000000        184          35.56
54460415.000 0.975000000000        186          40.00
54460415.000 0.978125000000        186          45.71
54460415.000 0.981250000000        186          53.33
54493183.000 0.984375000000        187          64.00
54493183.000 0.985937500000        187          71.11
54493183.000 0.987500000000        187          80.00
54493183.000 0.989062500000        187          91.43
54722559.000 0.990625000000        188         106.67
54722559.000 0.992187500000        188         128.00
54722559.000 0.992968750000        188         142.22
54722559.000 0.993750000000        188         160.00
54722559.000 0.994531250000        188         182.86
54820863.000 0.995312500000        189         213.33
54820863.000 1.000000000000        189
#[Mean    = 49993825.524, StdDeviation   =  1444758.288]
#[Max     = 54820863.000, Total count    =          189]
#[Buckets =           20, SubBuckets     =         2048]



100% [------------------------------------------------------------] ETA: 00:00:00 | :sync_medium_cells
Debug results for sync_medium_cells:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)

20283391.000 0.000000000000          1           1.00
20889599.000 0.100000000000         48           1.11
21250047.000 0.200000000000         93           1.25
21479423.000 0.300000000000        145           1.43
21594111.000 0.400000000000        192           1.67
21676031.000 0.500000000000        237           2.00
21708799.000 0.550000000000        258           2.22
21741567.000 0.600000000000        281           2.50
21774335.000 0.650000000000        302           2.86
21807103.000 0.700000000000        329           3.33
21856255.000 0.750000000000        356           4.00
21872639.000 0.775000000000        364           4.44
21889023.000 0.800000000000        372           5.00
21921791.000 0.825000000000        383           5.71
21954559.000 0.850000000000        396           6.67
21987327.000 0.875000000000        406           8.00
22003711.000 0.887500000000        413           8.89
22036479.000 0.900000000000        422          10.00
22052863.000 0.912500000000        424          11.43
22069247.000 0.925000000000        430          13.33
22102015.000 0.937500000000        437          16.00
22102015.000 0.943750000000        437          17.78
22118399.000 0.950000000000        442          20.00
22151167.000 0.956250000000        445          22.86
22167551.000 0.962500000000        446          26.67
22200319.000 0.968750000000        451          32.00
22200319.000 0.971875000000        451          35.56
22233087.000 0.975000000000        454          40.00
22233087.000 0.978125000000        454          45.71
22249471.000 0.981250000000        455          53.33
22265855.000 0.984375000000        457          64.00
22265855.000 0.985937500000        457          71.11
22282239.000 0.987500000000        459          80.00
22282239.000 0.989062500000        459          91.43
22282239.000 0.990625000000        459         106.67
22298623.000 0.992187500000        460         128.00
22298623.000 0.992968750000        460         142.22
22396927.000 0.993750000000        461         160.00
22396927.000 0.994531250000        461         182.86
22396927.000 0.995312500000        461         213.33
22413311.000 0.996093750000        462         256.00
22413311.000 0.996484375000        462         284.44
22413311.000 0.996875000000        462         320.00
22413311.000 0.997265625000        462         365.71
22413311.000 0.997656250000        462         426.67
22626303.000 0.998046875000        463         512.00
22626303.000 1.000000000000        463
#[Mean    = 21564688.035, StdDeviation   =   428275.558]
#[Max     = 22626303.000, Total count    =          463]
#[Buckets =           20, SubBuckets     =         2048]



100% [------------------------------------------------------------] ETA: 00:00:00 | :unicode
Debug results for unicode:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)

16203775.000 0.000000000000          1           1.00
16637951.000 0.100000000000         55           1.11
16777215.000 0.200000000000        110           1.25
16875519.000 0.300000000000        164           1.43
17022975.000 0.400000000000        220           1.67
17203199.000 0.500000000000        272           2.00
17252351.000 0.550000000000        305           2.22
17350655.000 0.600000000000        331           2.50
17481727.000 0.650000000000        360           2.86
17661951.000 0.700000000000        383           3.33
18006015.000 0.750000000000        409           4.00
18137087.000 0.775000000000        423           4.44
18268159.000 0.800000000000        439           5.00
18464767.000 0.825000000000        451           5.71
18628607.000 0.850000000000        463           6.67
18743295.000 0.875000000000        479           8.00
18792447.000 0.887500000000        483           8.89
18939903.000 0.900000000000        492          10.00
19103743.000 0.912500000000        497          11.43
19333119.000 0.925000000000        504          13.33
21102591.000 0.937500000000        510          16.00
23035903.000 0.943750000000        514          17.78
25559039.000 0.950000000000        517          20.00
28835839.000 0.956250000000        521          22.86
29671423.000 0.962500000000        524          26.67
33013759.000 0.968750000000        527          32.00
34963455.000 0.971875000000        529          35.56
35946495.000 0.975000000000        531          40.00
36405247.000 0.978125000000        533          45.71
36863999.000 0.981250000000        535          53.33
37453823.000 0.984375000000        536          64.00
37847039.000 0.985937500000        537          71.11
38895615.000 0.987500000000        538          80.00
39682047.000 0.989062500000        539          91.43
